field_name,data_type,required,allowed_values,description
record_id,string,true,,Unique identifier for one company metric record
company_id,string,true,,Company identifier matching companies_2025.csv
reporting_scope,string,true,,Legal entity market or business segment represented by the value
entity_type,string,true,insurance_company|insurance_group|insurance_market,Type of reporting entity
fiscal_year,integer,true,2025,Financial reporting year
period_start,date,true,,Beginning date of the reporting period
period_end,date,true,,Ending date of the reporting period
metric_id,string,true,reported_combined_ratio|underlying_adjusted_combined_ratio|loss_ratio|expense_ratio|underwriting_result|earned_premium_or_insurance_revenue,Metric identifier matching metrics_2025.csv
metric_value,number,false,,Numeric value as reported or calculated
metric_unit,string,true,percent|currency,Whether the value is a percentage or monetary amount
currency,string,false,TWD|GBP|USD|other|not_applicable,ISO currency of a monetary value
monetary_scale,string,true,unit|thousand|million|billion|not_applicable,Scale used in the source document
value_base_units,number,false,,Monetary value converted from the reported scale to individual currency units
year_basis,string,true,calendar_year|fiscal_year|accident_year|current_accident_year|not_stated,Time basis used to calculate the metric
adjustment_basis,string,true,reported|underlying|adjusted|excluding_catastrophes|excluding_prior_year_development|excluding_catastrophes_and_prior_year_development|company_defined|not_applicable,Adjustments included or excluded from the metric
ratio_denominator,string,false,net_premiums_earned|gross_premiums_earned|insurance_revenue|company_defined|not_stated|not_applicable,Revenue or premium denominator used for a ratio
value_origin,string,true,reported|calculated,Whether the value is directly reported or calculated
accounting_basis,string,false,IFRS|US_GAAP|Taiwan_local|Lloyds_market_basis|other|to_be_verified,Accounting or reporting basis used by the source
source_document,string,true,,Name of the annual report or financial supplement
source_url,string,true,,Official source URL
source_page,string,false,,Page number or table location in the source
chunk_id,string,false,,Identifier of the retrieved text chunk
evidence_text,string,true,,Source text supporting the extracted value
definition_note,string,false,,Company definition of the metric
confidence_score,number,true,0_to_1,Extraction confidence between zero and one
validation_status,string,true,pending|verified|warning|rejected,Human validation status
warning_message,string,false,,Comparability or extraction warning
